,year,game,groups,status,name,point,rank,cumsum
92,2019,12,A,Q,中山,-55.1,4.0,-356.4
93,2019,12,B,Q,菊地,-33.5,3.0,-243.10000000000002
94,2019,12,A,Q,土橋,66.0,1.0,110.8
95,2019,12,B,Q,近藤,-73.5,4.0,23.30000000000001
96,2019,13,A,Q,長屋,52.3,1.0,105.79999999999998
97,2019,13,A,Q,諏訪,-22.9,3.0,125.4
98,2019,13,B,Q,枝松,21.8,2.0,264.70000000000005
99,2019,13,B,Q,浅野,55.0,1.0,75.70000000000002
100,2019,13,A,Q,中山,-34.2,4.0,-390.6
101,2019,13,A,Q,菊地,4.8,2.0,-238.3
102,2019,13,B,Q,土橋,-33.2,3.0,77.6
103,2019,13,B,Q,近藤,-43.6,4.0,-20.29999999999999
104,2019,14,B,Q,長屋,-13.7,3.0,92.1
105,2019,14,B,Q,諏訪,9.3,2.0,134.70000000000002
106,2019,14,B,Q,枝松,-42.8,4.0,221.90000000000003
107,2019,14,A,Q,浅野,-39.4,4.0,36.30000000000001
108,2019,14,A,Q,中山,-25.3,3.0,-415.9
109,2019,14,A,Q,菊地,61.3,1.0,-177.0
110,2019,14,B,Q,土橋,47.2,1.0,124.8
111,2019,14,A,Q,近藤,3.4,2.0,-16.89999999999999
112,2019,15,A,SF,長屋,-23.3,4.0,68.79999999999998
113,2019,15,A,SF,諏訪,5.6,2.0,140.3
114,2019,15,A,SF,枝松,-17.0,3.0,204.90000000000003
115,2019,15,B,SF,浅野,-50.1,4.0,-13.79999999999999
116,2019,15,B,SF,中山,53.0,1.0,-362.9
117,2019,15,B,SF,菊地,52.3,2.0,-124.70000000000002
118,2019,15,A,SF,土橋,14.8,1.0,139.6
119,2019,15,B,SF,近藤,-35.3,3.0,-52.19999999999999
120,2019,16,A,SF,長屋,18.1,1.0,86.89999999999999
121,2019,16,A,SF,諏訪,-16.7,3.0,123.60000000000001
122,2019,16,A,SF,枝松,4.8,2.0,209.70000000000002
123,2019,16,B,SF,浅野,-40.8,4.0,-54.59999999999999
124,2019,16,B,SF,中山,41.7,2.0,-321.2
125,2019,16,B,SF,菊地,-29.8,3.0,-154.50000000000003
126,2019,16,A,SF,土橋,-25.9,4.0,113.7
127,2019,16,B,SF,近藤,48.6,1.0,-3.599999999999987
128,2019,17,A,F,長屋,-19.2,3.0,67.69999999999999
129,2019,17,A,F,諏訪,-41.0,4.0,82.60000000000001
130,2019,17,A,F,枝松,51.8,1.0,261.5
131,2019,17,A,F,土橋,8.4,2.0,122.1
132,2019,18,A,F,長屋,6.0,2.0,73.69999999999999
133,2019,18,A,F,諏訪,-30.0,4.0,52.60000000000001
134,2019,18,A,F,枝松,40.5,1.0,302.0
135,2019,18,A,F,土橋,-16.5,3.0,105.6
